,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
180,13635154,49.099609375,21.8799991607666,3267.5,22.5,5005.0,65.0,7993.75,502.5
181,13636154,48.94921875,21.860000610351562,3266.25,23.75,5003.75,63.75,7982.5,476.25
182,13637154,48.9892578125,21.81999969482422,3266.25,21.25,5003.75,63.75,7990.0,413.75
183,13638154,49.32421875,21.829999923706055,3258.75,35.0,5003.75,65.0,7976.25,438.75
184,13639154,49.365234375,21.59000015258789,3263.75,21.25,5003.75,65.0,7993.75,482.5
185,13640154,50.283203125,21.709999084472656,3262.5,23.75,5005.0,83.75,7980.0,396.25
186,13641154,50.06640625,21.729999542236328,3261.25,23.75,5002.5,63.75,7977.5,401.25
187,13642154,50.6201171875,21.65999984741211,3265.0,26.25,5003.75,65.0,7971.25,417.5
188,13643154,50.607421875,21.6299991607666,3266.25,26.25,5002.5,63.75,7991.25,475.0
189,13644154,51.013671875,21.59000015258789,3263.75,22.5,5002.5,83.75,7988.75,453.75
190,13645154,51.60546875,21.3700008392334,3262.5,22.5,5003.75,86.25,7982.5,405.0
191,13646154,52.58203125,21.399999618530273,3266.25,20.0,5005.0,66.25,7995.0,438.75
192,13647154,52.4140625,21.43000030517578,3265.0,20.0,5003.75,65.0,8002.5,421.25
193,13648154,52.6298828125,21.420000076293945,3265.0,21.25,5002.5,65.0,7998.75,396.25
194,13649154,53.4013671875,21.360000610351562,3261.25,22.5,5003.75,83.75,7977.5,458.75
195,13650154,53.5244140625,21.350000381469727,3265.0,20.0,5002.5,82.5,7955.0,487.5
196,13651154,53.5439453125,21.209999084472656,3265.0,22.5,5003.75,63.75,8001.25,475.0
197,13652154,53.9072265625,21.389999389648438,3266.25,18.75,5003.75,63.75,7997.5,540.0
198,13653154,53.9541015625,21.399999618530273,3265.0,18.75,5002.5,65.0,7983.75,405.0
199,13654154,54.8466796875,21.31999969482422,3263.75,21.25,5003.75,83.75,7996.25,401.25
200,13655154,55.109375,21.31999969482422,3266.25,21.25,5002.5,63.75,8000.0,418.75
201,13656154,54.783203125,21.260000228881836,3267.5,20.0,5005.0,65.0,7995.0,423.75
202,13657154,55.251953125,21.0,3266.25,20.0,5003.75,85.0,7965.0,453.75
203,13658154,55.783203125,21.219999313354492,3267.5,21.25,5002.5,65.0,7973.75,400.0
204,13659154,55.927734375,21.280000686645508,3261.25,27.5,5002.5,63.75,7998.75,400.0
205,13660154,56.2587890625,21.200000762939453,3265.0,20.0,5002.5,66.25,8001.25,462.5
206,13661154,56.58203125,21.229999542236328,3265.0,21.25,5005.0,83.75,7987.5,391.25
207,13662154,56.58203125,21.219999313354492,3266.25,20.0,5003.75,83.75,7990.0,453.75
208,13663154,57.484375,21.049999237060547,3265.0,27.5,5003.75,63.75,7971.25,407.5
209,13664154,57.572265625,21.190000534057617,3267.5,18.75,5002.5,63.75,7996.25,438.75
210,13665154,57.8037109375,21.219999313354492,3266.25,21.25,5002.5,65.0,7991.25,422.5
211,13666154,57.8916015625,21.200000762939453,3261.25,22.5,5003.75,63.75,7975.0,411.25
212,13667154,57.9990234375,21.229999542236328,3261.25,21.25,5002.5,83.75,7977.5,455.0
213,13668154,57.6591796875,21.170000076293945,3263.75,21.25,5003.75,62.5,7993.75,517.5
214,13669154,58.4541015625,21.049999237060547,3265.0,21.25,5002.5,62.5,7991.25,497.5
215,13670154,58.36328125,21.229999542236328,3266.25,20.0,5003.75,63.75,7982.5,427.5
216,13671154,58.2490234375,21.219999313354492,3265.0,22.5,5002.5,65.0,7980.0,430.0
217,13672154,58.779296875,21.260000228881836,3265.0,21.25,5003.75,65.0,7958.75,460.0
218,13673154,58.140625,21.260000228881836,3265.0,21.25,5003.75,63.75,7978.75,433.75
219,13674154,58.0986328125,21.290000915527344,3265.0,21.25,5003.75,83.75,7958.75,472.5
220,13675154,59.14453125,21.260000228881836,3265.0,20.0,5003.75,62.5,7951.25,465.0
221,13676154,59.1005859375,21.190000534057617,3266.25,20.0,5003.75,63.75,7978.75,525.0
222,13677154,59.2470703125,21.18000030517578,3266.25,25.0,5003.75,65.0,7995.0,507.5
223,13678154,59.27734375,21.149999618530273,3265.0,22.5,5003.75,83.75,7990.0,391.25
224,13679154,59.958984375,21.1299991607666,3265.0,21.25,5003.75,85.0,7970.0,447.5
225,13680154,59.525390625,21.1299991607666,3256.25,36.25,5002.5,63.75,7998.75,427.5
226,13681154,59.9814453125,21.040000915527344,3266.25,21.25,5002.5,65.0,7992.5,401.25
227,13682154,60.59765625,21.040000915527344,3263.75,23.75,5003.75,85.0,7975.0,466.25
228,13683154,61.111328125,21.049999237060547,3262.5,26.25,5005.0,85.0,7953.75,502.5
229,13684154,61.017578125,21.030000686645508,3265.0,21.25,5003.75,82.5,7961.25,516.25
230,13685154,61.3349609375,21.020000457763672,3266.25,21.25,5003.75,65.0,7995.0,526.25
231,13686154,61.1884765625,21.030000686645508,3266.25,21.25,5003.75,65.0,7978.75,425.0
232,13687154,60.330078125,21.09000015258789,3266.25,22.5,5003.75,65.0,7992.5,418.75
233,13688154,61.6181640625,21.09000015258789,3266.25,22.5,5003.75,82.5,7987.5,421.25
234,13689154,61.3603515625,21.1200008392334,3265.0,18.75,5003.75,65.0,7981.25,480.0
235,13690154,61.5703125,21.079999923706055,3258.75,22.5,5003.75,66.25,7963.75,448.75
236,13691154,61.7412109375,21.079999923706055,3265.0,18.75,5003.75,65.0,7985.0,406.25
237,13692154,61.9140625,21.079999923706055,3262.5,26.25,5003.75,63.75,7992.5,483.75
